"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1980",1.232,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1985",1.288,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1988",1.586,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1989",1.709,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1990",1.838,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1991",2.032,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1992",2.215,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1993",2.215,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1994",2.268,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1995",2.177,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1996",2.1,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1997",2.02,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1998",2.139,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","1999",2.123,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2000",1.823,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2001",1.89,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2002",1.905,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2003",1.858,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2004",1.711,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2005",1.544,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2006",1.38,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2007",1.318,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2008",1.323,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2009",1.493,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2010",1.439,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2011",1.373,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2012",1.324,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2013",1.303,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2014",1.315,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2015",1.361,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2016",1.354,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2017",1.273,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2018",1.178,
"NOR","FAMPUBEXP","INCASH","PC_GDP","A","2019",1.225,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1980",2.952,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1981",3.013,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1982",2.972,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1983",2.752,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1984",2.622,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1985",2.558,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1986",2.535,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1987",2.414,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1988",2.301,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1989",2.184,
