,LOCATION,SUBJECT,TIME,percent_GDP
34,BEL,TOT,1980,2.952
35,BEL,TOT,1981,3.013
36,BEL,TOT,1982,2.972
37,BEL,TOT,1983,2.752
38,BEL,TOT,1984,2.622
39,BEL,TOT,1985,2.558
40,BEL,TOT,1986,2.535
41,BEL,TOT,1987,2.414
42,BEL,TOT,1988,2.301
43,BEL,TOT,1989,2.184
44,BEL,TOT,1990,2.223
45,BEL,TOT,1991,2.212
46,BEL,TOT,1992,2.222
47,BEL,TOT,1993,2.317
48,BEL,TOT,1994,2.195
49,BEL,TOT,1995,2.243
50,BEL,TOT,1996,2.265
51,BEL,TOT,1997,2.374
52,BEL,TOT,1998,2.727
53,BEL,TOT,1999,2.679
54,BEL,TOT,2000,2.468
55,BEL,TOT,2001,2.569
56,BEL,TOT,2002,2.606
57,BEL,TOT,2003,2.661
58,BEL,TOT,2004,2.611
59,BEL,TOT,2005,2.586
60,BEL,TOT,2006,2.586
61,BEL,TOT,2007,2.642
62,BEL,TOT,2008,2.675
63,BEL,TOT,2009,2.846
64,BEL,TOT,2010,2.831
65,BEL,TOT,2011,2.864
66,BEL,TOT,2012,2.806
67,BEL,TOT,2013,2.844
68,BEL,TOT,2014,2.86
69,BEL,TOT,2015,2.777
70,BEL,TOT,2016,2.766
71,BEL,TOT,2017,2.744
72,BEL,TOT,2018,2.725
73,BEL,TOT,2019,2.771
114,ESP,TOT,1980,0.458
115,ESP,TOT,1981,0.392
116,ESP,TOT,1982,0.38
117,ESP,TOT,1983,0.331
118,ESP,TOT,1984,0.296
119,ESP,TOT,1985,0.255
120,ESP,TOT,1986,0.21
121,ESP,TOT,1987,0.177
122,ESP,TOT,1988,0.162
123,ESP,TOT,1989,0.15
124,ESP,TOT,1990,0.311
125,ESP,TOT,1991,0.296
126,ESP,TOT,1992,0.391
127,ESP,TOT,1993,0.413
128,ESP,TOT,1994,0.401
129,ESP,TOT,1995,0.403
130,ESP,TOT,1996,0.472
131,ESP,TOT,1997,0.455
132,ESP,TOT,1998,0.802
133,ESP,TOT,1999,0.79
134,ESP,TOT,2000,0.942
135,ESP,TOT,2001,0.892
136,ESP,TOT,2002,0.905
137,ESP,TOT,2003,1.053
138,ESP,TOT,2004,1.082
139,ESP,TOT,2005,1.159
140,ESP,TOT,2006,1.181
141,ESP,TOT,2007,1.228
142,ESP,TOT,2008,1.332
143,ESP,TOT,2009,1.487
144,ESP,TOT,2010,1.425
145,ESP,TOT,2011,1.341
146,ESP,TOT,2012,1.305
147,ESP,TOT,2013,1.312
148,ESP,TOT,2014,1.276
149,ESP,TOT,2015,1.238
150,ESP,TOT,2016,1.207
151,ESP,TOT,2017,1.205
152,ESP,TOT,2018,1.224
153,ESP,TOT,2019,1.274
260,KOR,TOT,1990,0.03
261,KOR,TOT,1991,0.037
262,KOR,TOT,1992,0.04
263,KOR,TOT,1993,0.049
264,KOR,TOT,1994,0.05
265,KOR,TOT,1995,0.06
266,KOR,TOT,1996,0.069
267,KOR,TOT,1997,0.079
268,KOR,TOT,1998,0.102
269,KOR,TOT,1999,0.09
270,KOR,TOT,2000,0.102
271,KOR,TOT,2001,0.133
272,KOR,TOT,2002,0.13
273,KOR,TOT,2003,0.151
274,KOR,TOT,2004,0.182
275,KOR,TOT,2005,0.223
276,KOR,TOT,2006,0.473
277,KOR,TOT,2007,0.417
278,KOR,TOT,2008,0.541
279,KOR,TOT,2009,0.649
280,KOR,TOT,2010,0.669
281,KOR,TOT,2011,0.673
282,KOR,TOT,2012,0.833
283,KOR,TOT,2013,1.143
284,KOR,TOT,2014,1.123
285,KOR,TOT,2015,1.127
286,KOR,TOT,2016,1.102
287,KOR,TOT,2017,1.103
288,KOR,TOT,2018,1.18
289,KOR,TOT,2019,1.374
290,KOR,TOT,2020,1.547
291,SWE,TOT,1980,3.463
292,SWE,TOT,1981,3.585
293,SWE,TOT,1982,3.393
294,SWE,TOT,1983,3.538
295,SWE,TOT,1984,3.444
296,SWE,TOT,1985,3.655
297,SWE,TOT,1986,3.672
298,SWE,TOT,1987,3.74
299,SWE,TOT,1988,3.75
300,SWE,TOT,1989,3.635
301,SWE,TOT,1990,3.976
302,SWE,TOT,1991,4.337
303,SWE,TOT,1992,4.392
304,SWE,TOT,1993,4.165
305,SWE,TOT,1994,4.088
306,SWE,TOT,1995,3.58
307,SWE,TOT,1996,3.306
308,SWE,TOT,1997,3.084
309,SWE,TOT,1998,3.075
310,SWE,TOT,1999,3.005
311,SWE,TOT,2000,2.775
312,SWE,TOT,2001,2.909
313,SWE,TOT,2002,3.057
314,SWE,TOT,2003,3.111
315,SWE,TOT,2004,3.1
316,SWE,TOT,2005,3.129
317,SWE,TOT,2006,3.217
318,SWE,TOT,2007,3.175
319,SWE,TOT,2008,3.302
320,SWE,TOT,2009,3.481
321,SWE,TOT,2010,3.374
322,SWE,TOT,2011,3.372
323,SWE,TOT,2012,3.492
324,SWE,TOT,2013,3.544
325,SWE,TOT,2014,3.54
326,SWE,TOT,2015,3.457
327,SWE,TOT,2016,3.495
328,SWE,TOT,2017,3.384
329,SWE,TOT,2018,3.464
330,SWE,TOT,2019,3.421
451,DNK,TOT,1980,2.737
452,DNK,TOT,1981,2.813
453,DNK,TOT,1982,2.789
454,DNK,TOT,1983,2.617
455,DNK,TOT,1984,2.552
456,DNK,TOT,1985,2.536
457,DNK,TOT,1986,2.52
458,DNK,TOT,1987,2.89
459,DNK,TOT,1988,3.181
460,DNK,TOT,1989,3.146
461,DNK,TOT,1990,3.193
462,DNK,TOT,1991,3.26
463,DNK,TOT,1992,3.35
464,DNK,TOT,1993,3.55
465,DNK,TOT,1994,3.819
466,DNK,TOT,1995,3.775
467,DNK,TOT,1996,3.708
468,DNK,TOT,1997,3.636
469,DNK,TOT,1998,3.466
470,DNK,TOT,1999,3.483
471,DNK,TOT,2000,3.395
472,DNK,TOT,2001,3.463
473,DNK,TOT,2002,3.556
474,DNK,TOT,2003,3.671
475,DNK,TOT,2004,3.575
476,DNK,TOT,2005,3.5
477,DNK,TOT,2006,3.454
478,DNK,TOT,2007,3.675
479,DNK,TOT,2008,3.725
480,DNK,TOT,2009,4.06
481,DNK,TOT,2010,3.893
482,DNK,TOT,2011,3.921
483,DNK,TOT,2012,3.804
484,DNK,TOT,2013,3.732
485,DNK,TOT,2014,3.619
486,DNK,TOT,2015,3.519
487,DNK,TOT,2016,3.478
488,DNK,TOT,2017,3.399
489,DNK,TOT,2018,3.372
490,DNK,TOT,2019,3.313
598,NOR,TOT,1980,1.782
599,NOR,TOT,1985,1.85
600,NOR,TOT,1988,2.397
601,NOR,TOT,1989,2.581
602,NOR,TOT,1990,2.689
603,NOR,TOT,1991,3.031
604,NOR,TOT,1992,3.35
605,NOR,TOT,1993,3.436
606,NOR,TOT,1994,3.551
607,NOR,TOT,1995,3.477
608,NOR,TOT,1996,3.394
609,NOR,TOT,1997,3.264
610,NOR,TOT,1998,3.441
611,NOR,TOT,1999,3.422
612,NOR,TOT,2000,2.996
613,NOR,TOT,2001,3.128
614,NOR,TOT,2002,3.024
615,NOR,TOT,2003,3.072
616,NOR,TOT,2004,2.969
617,NOR,TOT,2005,2.79
618,NOR,TOT,2006,2.691
619,NOR,TOT,2007,2.745
620,NOR,TOT,2008,2.727
621,NOR,TOT,2009,3.185
622,NOR,TOT,2010,3.149
623,NOR,TOT,2011,3.109
624,NOR,TOT,2012,3.047
625,NOR,TOT,2013,3.088
626,NOR,TOT,2014,3.161
627,NOR,TOT,2015,3.266
628,NOR,TOT,2016,3.364
629,NOR,TOT,2017,3.242
630,NOR,TOT,2018,3.071
631,NOR,TOT,2019,3.187
765,CHL,TOT,1987,0.76
766,CHL,TOT,1988,0.593
767,CHL,TOT,1989,0.501
768,CHL,TOT,1990,0.512
769,CHL,TOT,1991,0.501
770,CHL,TOT,1992,0.471
771,CHL,TOT,1993,0.457
772,CHL,TOT,1994,0.442
773,CHL,TOT,1995,0.417
774,CHL,TOT,1996,0.438
775,CHL,TOT,1997,0.452
776,CHL,TOT,1998,0.493
777,CHL,TOT,1999,0.709
778,CHL,TOT,2000,1.133
779,CHL,TOT,2001,1.004
780,CHL,TOT,2002,1.014
781,CHL,TOT,2003,0.985
782,CHL,TOT,2004,0.978
783,CHL,TOT,2005,0.841
784,CHL,TOT,2006,0.824
785,CHL,TOT,2007,0.954
786,CHL,TOT,2008,1.15
787,CHL,TOT,2009,1.683
788,CHL,TOT,2010,1.49
789,CHL,TOT,2011,1.31
790,CHL,TOT,2012,1.367
791,CHL,TOT,2013,1.415
792,CHL,TOT,2014,1.533
793,CHL,TOT,2015,1.712
794,CHL,TOT,2016,1.794
795,CHL,TOT,2017,1.776
796,CHL,TOT,2018,1.74
797,CHL,TOT,2019,1.744
798,CHL,TOT,2020,3.232
799,CHL,TOT,2021,8.155
800,IRL,TOT,1980,1.053
801,IRL,TOT,1981,1.136
802,IRL,TOT,1982,1.415
803,IRL,TOT,1983,1.445
804,IRL,TOT,1984,1.403
805,IRL,TOT,1985,1.378
806,IRL,TOT,1986,1.525
807,IRL,TOT,1987,1.543
808,IRL,TOT,1988,1.45
809,IRL,TOT,1989,1.34
810,IRL,TOT,1990,1.915
811,IRL,TOT,1991,2.017
812,IRL,TOT,1992,2.098
813,IRL,TOT,1993,2.079
814,IRL,TOT,1994,2.148
815,IRL,TOT,1995,2.084
816,IRL,TOT,1996,2.158
817,IRL,TOT,1997,2.066
818,IRL,TOT,1998,2.096
819,IRL,TOT,1999,2.052
820,IRL,TOT,2000,1.95
821,IRL,TOT,2001,2.192
822,IRL,TOT,2002,2.545
823,IRL,TOT,2003,2.66
824,IRL,TOT,2004,2.637
825,IRL,TOT,2005,2.555
826,IRL,TOT,2006,2.593
827,IRL,TOT,2007,2.703
828,IRL,TOT,2008,3.182
829,IRL,TOT,2009,3.686
830,IRL,TOT,2010,3.429
831,IRL,TOT,2011,3.232
832,IRL,TOT,2012,3.16
833,IRL,TOT,2013,2.931
834,IRL,TOT,2014,2.659
835,IRL,TOT,2015,1.994
836,IRL,TOT,2016,1.963
837,IRL,TOT,2017,1.849
838,IRL,TOT,2018,1.741
839,IRL,TOT,2019,1.635
942,USA,TOT,1980,0.767
943,USA,TOT,1981,0.707
944,USA,TOT,1982,0.638
945,USA,TOT,1983,0.651
946,USA,TOT,1984,0.62
947,USA,TOT,1985,0.604
948,USA,TOT,1986,0.429
949,USA,TOT,1987,0.43
950,USA,TOT,1988,0.435
951,USA,TOT,1989,0.433
952,USA,TOT,1990,0.456
953,USA,TOT,1991,0.566
954,USA,TOT,1992,0.573
955,USA,TOT,1993,0.59
956,USA,TOT,1994,0.585
957,USA,TOT,1995,0.591
958,USA,TOT,1996,0.543
959,USA,TOT,1997,0.408
960,USA,TOT,1998,0.789
961,USA,TOT,1999,0.779
962,USA,TOT,2000,0.792
963,USA,TOT,2001,0.831
964,USA,TOT,2002,0.846
965,USA,TOT,2003,0.797
966,USA,TOT,2004,0.745
967,USA,TOT,2005,0.706
968,USA,TOT,2006,0.709
969,USA,TOT,2007,0.702
970,USA,TOT,2008,0.701
971,USA,TOT,2009,0.736
972,USA,TOT,2010,0.75
973,USA,TOT,2011,0.719
974,USA,TOT,2012,0.684
975,USA,TOT,2013,0.666
976,USA,TOT,2014,0.644
977,USA,TOT,2015,0.643
978,USA,TOT,2016,0.64
979,USA,TOT,2017,0.631
980,USA,TOT,2018,0.621
981,USA,TOT,2019,0.619
982,USA,TOT,2020,0.667
1013,EST,TOT,1999,1.738
1014,EST,TOT,2000,1.746
1015,EST,TOT,2001,1.604
1016,EST,TOT,2002,1.575
1017,EST,TOT,2003,1.423
1018,EST,TOT,2004,1.838
1019,EST,TOT,2005,1.738
1020,EST,TOT,2006,1.682
1021,EST,TOT,2007,1.611
1022,EST,TOT,2008,2.103
1023,EST,TOT,2009,2.56
1024,EST,TOT,2010,2.557
1025,EST,TOT,2011,2.231
1026,EST,TOT,2012,2.039
1027,EST,TOT,2013,1.914
1028,EST,TOT,2014,2.293
1029,EST,TOT,2015,2.786
1030,EST,TOT,2016,2.902
1031,EST,TOT,2017,2.825
1032,EST,TOT,2018,3.119
1033,EST,TOT,2019,3.21
1101,CZE,TOT,1990,2.259
1102,CZE,TOT,1991,2.477
1103,CZE,TOT,1992,2.403
1104,CZE,TOT,1993,2.004
1105,CZE,TOT,1994,1.966
1106,CZE,TOT,1995,1.843
1107,CZE,TOT,1996,1.717
1108,CZE,TOT,1997,1.652
1109,CZE,TOT,1998,1.815
1110,CZE,TOT,1999,1.818
1111,CZE,TOT,2000,1.768
1112,CZE,TOT,2001,1.699
1113,CZE,TOT,2002,1.748
1114,CZE,TOT,2003,1.667
1115,CZE,TOT,2004,1.732
1116,CZE,TOT,2005,1.982
1117,CZE,TOT,2006,1.928
1118,CZE,TOT,2007,2.16
1119,CZE,TOT,2008,2.224
1120,CZE,TOT,2009,2.34
1121,CZE,TOT,2010,2.288
1122,CZE,TOT,2011,2.116
1123,CZE,TOT,2012,2.188
1124,CZE,TOT,2013,2.181
1125,CZE,TOT,2014,2.078
1126,CZE,TOT,2015,2.013
1127,CZE,TOT,2016,1.981
1128,CZE,TOT,2017,1.99
1129,CZE,TOT,2018,2.097
1130,CZE,TOT,2019,2.098
1171,OECD,TOT,1980,1.455
1172,OECD,TOT,1981,1.488
1173,OECD,TOT,1982,1.483
1174,OECD,TOT,1983,1.461
1175,OECD,TOT,1984,1.418
1176,OECD,TOT,1985,1.414
1177,OECD,TOT,1986,1.408
1178,OECD,TOT,1987,1.411
1179,OECD,TOT,1988,1.412
1180,OECD,TOT,1989,1.419
1181,OECD,TOT,1990,1.552
1182,OECD,TOT,1991,1.633
1183,OECD,TOT,1992,1.699
1184,OECD,TOT,1993,1.745
1185,OECD,TOT,1994,1.785
1186,OECD,TOT,1995,1.747
1187,OECD,TOT,1996,1.746
1188,OECD,TOT,1997,1.716
1189,OECD,TOT,1998,1.84
1190,OECD,TOT,1999,1.836
1191,OECD,TOT,2000,1.772
1192,OECD,TOT,2001,1.78
1193,OECD,TOT,2002,1.812
1194,OECD,TOT,2003,1.868
1195,OECD,TOT,2004,1.847
1196,OECD,TOT,2005,1.847
1197,OECD,TOT,2006,1.845
1198,OECD,TOT,2007,1.846
1199,OECD,TOT,2008,2.009
1200,OECD,TOT,2009,2.216
1201,OECD,TOT,2010,2.17
1202,OECD,TOT,2011,2.079
1203,OECD,TOT,2012,2.071
1204,OECD,TOT,2013,2.07
1205,OECD,TOT,2014,2.058
1206,OECD,TOT,2015,2.068
