,COU,Country,IND,Indicator,SEX,TIME,Time,Value
0,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1970,1970,0.0
1,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1975,1975,0.0
2,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1980,1980,0.0
3,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1985,1985,0.0
4,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1990,1990,0.0
5,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,1995,1995,0.0
6,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,2000,2000,0.0
7,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,2005,2005,0.0
8,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,2010,2010,6.0
9,AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,2011,2011,18.0
10,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1970,1970,0.0
11,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1975,1975,0.0
12,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1980,1980,0.0
13,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1985,1985,0.0
14,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1990,1990,0.0
15,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,1995,1995,52.0
16,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2000,2000,52.0
17,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2005,2005,52.0
18,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2010,2010,46.0
19,AUS,Australia,EMP18_PAR,Length of parental leave with job protection available to mothers,WOMEN,2011,2011,34.0
20,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1970,1970,0.0
21,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1975,1975,0.0
22,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1980,1980,0.0
23,AUS,Australia,EMP18_PAID,"Total length of paid maternity, parental and home care leave",WOMEN,1985,1985,0.0
